2023-03-05T20:54:50.310Z In(05) mks Log for VMware Fusion pid=16564 version=13.0.1 build=build-21139760 option=Release
2023-03-05T20:54:50.310Z In(05) mks The host is 64-bit Arm.
2023-03-05T20:54:50.310Z In(05) mks Host codepage=UTF-8 encoding=UTF-8
2023-03-05T20:54:50.310Z In(05) mks Host is macOS 13.2.1 (22D68) Darwin 22.3.0
2023-03-05T20:54:50.310Z In(05) mks Host offset from UTC is +07:00.
2023-03-05T20:54:50.335Z In(05) main  VTHREAD 8779759936 "main" tid 2173247
2023-03-05T20:54:50.336Z In(05) main  MKSRoleMain: Initializing MKSSandbox...
2023-03-05T20:54:50.336Z In(05) main  MKSRoleMain: Initializing FeatureState...
2023-03-05T20:54:50.336Z In(05) main  MKSRoleMain: Initializing Locale...
2023-03-05T20:54:50.338Z In(05) main  Msg_SetLocaleEx: HostLocale=UTF-8 UserLocale=en
2023-03-05T20:54:50.339Z In(05) main  DictionaryLoad: Cannot open file "/Applications/VMware Fusion.app/Contents/Library/messages/en/vmware-mks.vmsg": No such file or directory.
2023-03-05T20:54:50.339Z In(05) main  MKSRoleMain: Initializing Preference...
2023-03-05T20:54:50.339Z In(05) main  DictionaryLoad: Cannot open file "/Library/Preferences/VMware Fusion/config": No such file or directory.
2023-03-05T20:54:50.339Z In(05) main  [msg.dictionary.load.openFailed] Cannot open file "/Library/Preferences/VMware Fusion/config": No such file or directory.
2023-03-05T20:54:50.339Z In(05) main  PREF Optional preferences file not found at /Library/Preferences/VMware Fusion/config. Using default values.
2023-03-05T20:54:50.339Z In(05) main  DictionaryLoad: Cannot open file "/Applications/VMware Fusion.app/Contents/Library/settings": No such file or directory.
2023-03-05T20:54:50.339Z In(05) main  [msg.dictionary.load.openFailed] Cannot open file "/Applications/VMware Fusion.app/Contents/Library/settings": No such file or directory.
2023-03-05T20:54:50.339Z In(05) main  PREF Optional preferences file not found at /Applications/VMware Fusion.app/Contents/Library/settings. Using default values.
2023-03-05T20:54:50.339Z In(05) main  DictionaryLoad: Cannot open file "/Applications/VMware Fusion.app/Contents/Library/config": No such file or directory.
2023-03-05T20:54:50.339Z In(05) main  [msg.dictionary.load.openFailed] Cannot open file "/Applications/VMware Fusion.app/Contents/Library/config": No such file or directory.
2023-03-05T20:54:50.339Z In(05) main  PREF Optional preferences file not found at /Applications/VMware Fusion.app/Contents/Library/config. Using default values.
2023-03-05T20:54:50.339Z In(05) main  DictionaryLoad: Cannot open file "/Users/maul/Library/Preferences/VMware Fusion/config": No such file or directory.
2023-03-05T20:54:50.339Z In(05) main  [msg.dictionary.load.openFailed] Cannot open file "/Users/maul/Library/Preferences/VMware Fusion/config": No such file or directory.
2023-03-05T20:54:50.339Z In(05) main  PREF Optional preferences file not found at /Users/maul/Library/Preferences/VMware Fusion/config. Using default values.
2023-03-05T20:54:50.340Z In(05) main  MKSRoleMain: Initializing Poll...
2023-03-05T20:54:50.341Z In(05) main  MKSRoleMain: Initializing Log...
2023-03-05T20:54:50.341Z In(05) main  MKSRoleMain: Running as Native process.
2023-03-05T20:54:50.341Z In(05) main  MKSRoleMain: Found Config Settings:
2023-03-05T20:54:50.341Z In(05) main  DICT --- GLOBAL SETTINGS /Applications/VMware Fusion.app/Contents/Library/settings
2023-03-05T20:54:50.341Z In(05) main  DICT --- NON PERSISTENT (null)
2023-03-05T20:54:50.341Z In(05) main  DICT --- USER PREFERENCES /Users/maul/Library/Preferences/VMware Fusion/preferences
2023-03-05T20:54:50.341Z In(05) main  DICT pref.dataCollectionEnabled.epoch = ""
2023-03-05T20:54:50.341Z In(05) main  DICT pref.dataCollectionEnabled = "TRUE"
